localization;loc
San Diego;32.7157,-117.1610
Houston;29.7499,-95.3584
Mesa;33.4245,-111.8332
Raleigh;35.7877,-78.6442
Atlanta;33.7537,-84.3863
Oklahoma City;35.4819,-97.5084
Seattle;47.6080,-122.3351
Indianapolis;39.7910,-86.1480
Detroit;42.3314,-83.0457
Nashville;36.1744,-86.7679
Albuquerque;35.1067,-106.6291
Memphis;35.1495,-90.0489
Louisville;38.3287,-85.7647
Denver;39.7420,-104.9915
Austin;30.2666,-97.7333
Columbus;39.9833,-82.9833
Los Angeles;34.0522,-118.2436
Las Vegas;36.1147,-115.2014
Fort Worth;32.7687,-97.3093
Miami;25.7616,-80.1917
Milwaukee;43.0389,-87.9064
Baltimore;39.2992,-76.6093
New York;43.0000,75.0000
San Francisco;37.7739,-122.4312
San Jose;37.3354,-121.8930
San Antonio;29.4243,-98.4911
Philadelphia;39.9525,-75.1652
Charlotte;35.2270,-80.8431
Tucson;32.2534,-110.9117
Chicago;41.8818,-87.6231
Sacramento;38.5905,-121.4899
Kansas City;39.0997,-94.5783
Omaha;41.2571,-95.9951
Virginia Beach;36.8631,-76.0157
Dallas;32.7791,-96.8088
Boston;42.3611,-71.0570
Jacksonville;30.3321,-81.6556
Phoenix;33.4483,-112.0740
Washington;38.8898,-77.0090
El Paso;31.7725,-106.4609
Colorado Springs;38.8590,-104.8134
Fresno;36.7468,-119.7725
Portland;45.5230,-122.6764
